date,pol_mb,pol_b,pol_reg,pol_m,pol_mm,pol_ns,pol_nc,eco_mb,eco_b,eco_reg,eco_m,eco_mm,eco_ns,eco_nc
01/01/1996,0.4,7,28.4,34.9,24.9,4,0.4,0.5,9.2,39.4,34.8,15.2,0.8,0.2
01/02/1996,0.6,10.9,46.7,27.8,9.6,4.3,0.2,0.5,8.8,43.2,33.8,12.1,1.4,0.2
01/03/1996,0.6,10.3,45.7,24.9,8.3,9.5,0.7,0.6,8.9,50.4,27.8,9.9,2.4,0.1
01/04/1996,0.2,7,46.1,28.3,10.4,7.3,0.8,0.3,9.4,49.1,28.6,9.8,2.5,0.2
01/05/1996,0.7,15.2,44.7,19.6,6.4,13,0.4,0.4,8.7,44.4,33,11.3,2.3,0
01/06/1996,1.4,18.2,44.8,17,6.3,11.4,0.8,0.7,10.4,44.1,29.6,13.4,1.7,0.1
01/07/1996,0.5,20,51.9,17.4,4.4,5,0.8,0.2,10.5,46.1,30.2,10.6,2.2,0.2
01/09/1996,0.6,14.2,54,19.9,5.6,5,0.7,0.2,9.1,43.7,35.6,9.6,1.8,0.2
01/10/1996,0.5,13.2,51.1,22.5,7.6,4.4,0.8,0.4,10,49.1,28.8,10.5,1.2,0
01/11/1996,0.4,13.3,45.7,22.8,6.7,10.5,0.8,0.7,11.2,54,25.6,6.2,2.3,0.1
01/12/1996,0.4,16.8,45.2,22.9,6.2,8,0.5,0.1,12.3,49.9,26.8,8.2,2.8,0
01/01/1997,0.4,13.7,47.7,22,6.8,8.6,0.9,0.3,13.8,49.9,26.3,7.8,1.8,0
01/02/1997,0.5,13.7,48.6,22.3,6.7,7,1.2,0.5,14.2,47.7,26.8,7.5,2.8,0.4
01/03/1997,0.6,18.9,50.3,18.4,6.3,4.8,0.7,0.7,16.5,52.9,21.6,6,2.1,0.3
01/04/1997,1,21.3,48.6,15.3,4.1,8.8,0.9,1.1,22.9,52.3,16.8,4.7,2.1,0.1
01/05/1997,1,19.4,49.8,16.8,6,5.9,1,1.9,24.3,49.8,18.1,4.3,1.5,0.2
01/06/1997,1.2,29.1,50.5,10,2.4,6.4,0.5,1.1,20.8,53.1,17.2,4.7,2.9,0.2
01/07/1997,1.9,31,46.9,12,3.4,4.3,0.4,2.9,30.8,47.8,12.9,4.2,1,0.4
01/09/1997,1.3,21.2,46,14.5,4.7,9.2,3.2,1,24.3,46.2,17.3,4.9,4.7,1.5
01/10/1997,1.1,18.7,46.1,19.1,5.8,8.5,0.8,0.7,18.7,54.9,18.9,4.6,2,0.2
01/11/1997,1,22.3,50.9,16.6,5.1,3.7,0.5,1.5,21.4,51.8,18.2,5.1,1.9,0.2
01/12/1997,1.5,26.4,46.3,12.2,4.3,7.7,1.6,0.8,30.4,52.6,12.1,2.2,1.8,0.1
01/01/1998,1,28.8,47.4,12.9,2.7,6.9,0.4,0.9,23,52.4,15.8,4.6,3.2,0.2
01/02/1998,0.3,22.4,47.2,16.5,5.8,5.8,2.1,0.9,25.3,51.3,16.1,4.3,1.6,0.6
01/03/1998,1.1,23.1,46.9,15.9,5.1,7.2,0.6,0.9,23.5,52.5,16,3.9,2.8,0.3
01/04/1998,1.1,23,49.4,15.7,4.4,5.7,0.7,1.6,24.3,52,15.4,4.6,1.9,0.2
01/05/1998,1.2,24.1,42.7,16.9,5.3,8.7,1,1.6,29.1,49.9,14.5,3.2,1.5,0.1
01/06/1998,0.7,20.5,44.1,17.2,6,10.3,1.2,1.4,25.6,49.8,15.5,5,2.6,0.1
01/07/1998,1.2,18.9,47.2,16.2,5.6,9.6,1.3,1,22.6,54,15.9,3.3,2.9,0.2
01/09/1998,1.3,21.5,47.7,14.2,5.1,8.6,1.7,1.2,24.1,51.4,14.8,4.7,3.5,0.4
01/10/1998,1.3,27.2,46.2,13,3.8,7.6,0.8,0.9,27.6,51.8,14.1,1.5,3.9,0.2
01/11/1998,1.2,30.3,47.5,12.8,2.5,5.1,0.6,2.1,34.8,47.1,11.1,3.3,1.5,0.1
01/12/1998,1.7,30.9,43,11.3,3.1,8.8,1.2,1.6,35.5,47.3,10,1.5,4,0.3
01/01/1999,1.8,30.1,43.2,12.1,3.3,8.5,1,1.4,31.4,49.7,11.6,3.1,2.4,0.4
01/02/1999,1.4,28.9,43,11.6,3.4,10.1,1.6,1.1,31.4,48.4,12.2,2.2,4.3,0.3
01/03/1999,1.9,26.3,45.1,13.6,4.3,7.2,1.5,2,28.6,50.7,13,2.5,2.9,0.3
01/04/1999,1,25.8,46.6,12.6,3.7,9.2,1.1,1.9,34.7,46.9,11.5,2.8,2,0.2
01/05/1999,1.6,27.8,42.7,14.7,5.2,6.9,1.1,1.6,34.1,49.7,10.7,2.3,1.4,0.1
01/06/1999,1.6,31.2,45.9,10.6,3.5,6.9,0.4,1.8,38.4,45.7,10,2.2,1.8,0.2
01/07/1999,1.6,25.3,42.8,13.3,4.6,11,1.3,2.2,34.1,46.3,11.2,2.9,2.9,0.2
01/09/1999,1.6,27.4,42.9,12.8,3.7,9.5,2.1,1.8,31.2,48.7,11.8,3.4,2.8,0.4
01/10/1999,1.5,26.7,44.1,13.1,3.8,9.9,0.9,1.6,29.9,49.4,12.6,3.2,3,0.3
01/11/1999,1.8,22.2,39.6,17.6,6.9,10,2,2.2,30.6,47.1,13.1,4.2,2.2,0.6
01/12/1999,1.5,30.5,40.3,12.8,4.9,8.8,1.2,1.6,39,46.5,8.6,1.9,1.9,0.4
01/01/2000,2.5,31.5,43.6,13.6,3.3,4.7,0.8,3.9,41.7,43.4,7.9,2.1,0.9,0.1
01/02/2000,2.1,27.3,41.7,12.8,4.4,10.5,1.3,2.7,37.7,46.3,8.8,2.3,2.1,0.3
01/03/2000,3.3,39.2,42.9,8.8,2.3,3.2,0.4,3.3,40.2,41.2,10.7,2.5,1.8,0.2
01/04/2000,2.9,37.8,40.7,10.2,2.4,5.5,0.6,2.4,38.3,45.3,10.3,2.2,1.4,0.2
01/05/2000,3.8,38.2,41.7,8.9,3.3,3.3,0.8,2.3,38.2,45.3,10.4,2.2,1.3,0.2
01/06/2000,2.7,30.8,39.1,13.9,3.3,9.2,1,2.7,41,45.6,7.1,1.6,1.8,0.2
01/07/2000,1.6,28.4,39.1,13.7,5.2,10.4,1.5,2.1,35.2,45.8,10.3,3.1,3.3,0.2
01/09/2000,1.6,23.5,43.8,16.5,5.4,7.6,1.6,1.6,28.1,50,15.3,3.3,1.6,0.1
01/10/2000,1.4,27.1,46.1,14.9,3.6,6,0.9,1.1,24.4,53.6,16.1,3.2,1.4,0.2
01/11/2000,1.2,28,47.6,14.4,3.6,4.5,0.6,1.5,29,50.9,14.5,2.7,1.2,0.2
01/12/2000,1.8,27.9,43.5,15.1,4.1,6.8,0.8,2.1,37.5,47.9,9.5,1.3,1.4,0.2
01/01/2001,1.1,29.6,44.2,13,3.5,7.5,1.1,1.4,32.3,50.8,10.7,2.3,2.4,0.1
01/02/2001,1.1,24.2,45.7,15.8,4,7.8,1.3,1.6,31.9,51.8,10.6,2.3,1.6,0.1
01/03/2001,0.8,26.4,40.5,14,4.8,11.6,1.8,1.3,32.7,50.6,10.3,2.7,2.1,0.2
01/04/2001,0.9,24.6,43.3,15.8,4.4,9.8,1.1,1.5,30.9,49.7,13.1,2.6,2,0.1
01/05/2001,0.6,23.3,44.8,17,4.5,8.3,1.4,1.4,29.9,52.6,11.5,2.5,1.9,0.2
01/06/2001,0.9,24.5,41.5,14.6,4.7,12,1.9,1.4,29.6,51.2,11.6,2.7,3.2,0.3
